,연간수익률(%),연간변동성(%),샤프지수,왜도,초과첨도,최대낙폭일수익률(%),최대상승일수익률(%)
samsung,16.7,28.1,0.59,0.346,2.724,-10.3,10.47
skhynix,35.2,41.9,0.84,0.304,2.009,-10.4,13.4
naver,11.4,36.4,0.31,0.743,4.408,-8.93,17.92
kospi,12.3,20.4,0.6,-0.224,6.472,-8.77,8.6
usdkrw,3.9,9.2,0.42,-0.448,2.573,-3.44,2.07
wti,20.6,47.9,0.43,0.257,20.847,-24.59,25.1
gold,18.4,17.1,1.08,-0.339,3.469,-5.74,5.95
us10y,27.3,64.7,0.42,6.282,120.151,-29.32,73.9
sp500,17.2,21.1,0.82,-0.342,14.044,-11.98,9.52
nasdaq,21.8,25.4,0.86,-0.184,7.749,-12.32,12.16
