Date,Close,High,Low,Open,Volume,label,ticker
2020-01-02,177355.46875,182700.42808219176,176869.56335616438,182214.52268835617,300640,naver,035420.KS
2020-01-03,176383.640625,180756.78873966943,175411.82993285125,179784.97804752068,454492,naver,035420.KS
2020-01-06,175411.84375,176869.55990304708,172982.31682825484,174925.93836565097,287970,naver,035420.KS
2020-01-07,181728.609375,181728.609375,176383.6502757353,177355.46102105617,328624,naver,035420.KS
2020-01-08,177841.359375,178327.26472848363,173954.11654713115,176869.5486680328,820867,naver,035420.KS
2020-01-09,180756.8125,181242.71790994622,178327.2854502688,178327.2854502688,531355,naver,035420.KS
2020-01-10,182700.40625,182700.40625,178813.1635638298,179784.97423537233,398739,naver,035420.KS
2020-01-13,182700.40625,183186.31158577127,180756.7849069149,182214.50091422873,337749,naver,035420.KS
2020-01-14,185129.96875,189017.2121883202,182700.44160104988,182700.44160104988,501286,naver,035420.KS
2020-01-15,186101.75,186587.65535248042,183186.3178851175,184158.12859007833,323778,naver,035420.KS
2020-01-16,186101.75,187073.56070496084,183672.2232375979,184644.03394255874,245107,naver,035420.KS
2020-01-17,185615.875,187073.59129581152,184158.15870418848,185129.96956806284,286019,naver,035420.KS
2020-01-20,182214.515625,185129.94787499998,181728.61025,184644.04249999998,454733,naver,035420.KS
2020-01-21,176869.5625,184158.14337225273,175897.75171703295,182214.52180631866,547678,naver,035420.KS
2020-01-22,180756.8125,184644.0557795699,179299.09627016127,179785.00168010753,429852,naver,035420.KS
2020-01-23,177841.359375,180270.88614241805,176383.64331454918,179784.98078893442,375929,naver,035420.KS
2020-01-28,173468.234375,179299.09939600842,172982.32895658264,176869.57230392157,476253,naver,035420.KS
2020-01-29,174925.953125,178327.29110243055,174925.953125,177841.38567708334,434897,naver,035420.KS
2020-01-30,174925.953125,177841.38567708334,170066.89887152778,174440.04769965276,772160,naver,035420.KS
2020-01-31,174440.046875,175411.85772110027,172496.42518279946,174925.95229805014,537062,naver,035420.KS
2020-02-03,172496.40625,175411.83846830984,171038.69014084505,172982.3116197183,485913,naver,035420.KS
2020-02-04,175411.84375,176383.65451869805,170066.88452216066,172496.41144390582,563463,naver,035420.KS
2020-02-05,176383.640625,178327.26200929753,173468.20854855372,175897.73527892563,653809,naver,035420.KS
2020-02-06,176383.640625,178327.26200929753,175411.82993285125,177355.45131714878,659850,naver,035420.KS
2020-02-07,179784.984375,183186.32191722974,175897.7414695946,176383.64683277026,728633,naver,035420.KS
2020-02-10,178327.296875,178813.2023160763,175411.86422854225,177355.48599284742,433051,naver,035420.KS
2020-02-11,179299.078125,179784.98348577236,177841.36204268294,178327.2674034553,400386,naver,035420.KS
2020-02-12,179784.984375,179784.984375,176383.64683277026,177841.3629222973,351892,naver,035420.KS
2020-02-13,179299.078125,179784.98348577236,177841.36204268294,178813.17276422764,555923,naver,035420.KS
2020-02-14,181242.703125,182214.5138656166,178813.17627345843,178813.17627345843,659429,naver,035420.KS
2020-02-17,183186.328125,183672.23350464192,179299.08508786472,179299.08508786472,312407,naver,035420.KS
2020-02-18,181242.703125,183186.32460623325,180270.8923843834,181242.703125,345642,naver,035420.KS
2020-02-19,184158.140625,185615.8567777045,179784.99216688654,182700.4244722955,560743,naver,035420.KS
2020-02-20,184644.0625,186101.77878289475,182214.5353618421,184158.15707236843,427402,naver,035420.KS
2020-02-21,184158.140625,185615.8567777045,181728.61370382586,182214.51908806068,434019,naver,035420.KS
2020-02-24,178813.1875,182214.5253057065,178327.28209918478,180270.90370244565,567036,naver,035420.KS
2020-02-25,185129.96875,185615.87417979003,178327.29273293965,178813.19816272968,704859,naver,035420.KS
2020-02-26,181728.609375,184644.04161096257,181242.70400233957,184158.13623830213,494066,naver,035420.KS
2020-02-27,176869.5625,181728.61641483515,173954.13015109889,179784.9948489011,535696,naver,035420.KS
2020-02-28,169095.046875,174925.91056034484,167151.42564655174,173954.0999461207,830654,naver,035420.KS
2020-03-02,170066.875,172010.49642857144,167637.3482142857,170066.875,659376,naver,035420.KS
2020-03-03,170066.875,174925.92857142858,169095.0642857143,173954.11785714285,544379,naver,035420.KS
2020-03-04,173468.234375,174440.04521183475,168123.27477240897,169580.99102766108,450252,naver,035420.KS
2020-03-05,175897.765625,175897.765625,173468.23847548343,175411.8601950967,483840,naver,035420.KS
2020-03-06,174440.046875,175897.76314415043,172496.42518279946,174440.046875,293897,naver,035420.KS
2020-03-09,174440.046875,174440.046875,174440.046875,174440.046875,0,naver,035420.KS
2020-03-10,167151.46875,171038.71220930232,160348.79269622095,163264.22529069768,666532,naver,035420.KS
2020-03-11,165207.828125,169095.0711397059,162778.30124080883,167151.44963235295,483822,naver,035420.KS
2020-03-12,165207.828125,165207.828125,165207.828125,165207.828125,0,naver,035420.KS
2020-03-13,161320.578125,163264.19954819276,145285.70138365965,146743.4174510542,1242510,naver,035420.KS
2020-03-16,150630.671875,161806.4959173387,150630.671875,161320.59052419354,812823,naver,035420.KS
2020-03-17,146743.421875,151116.5702090232,142856.17891142383,143342.08428187086,979243,naver,035420.KS
2020-03-18,141884.375,151602.48287671234,141884.375,148201.145119863,666723,naver,035420.KS
2020-03-19,139940.734375,147229.3142903646,131194.4384765625,145771.59830729166,1154230,naver,035420.KS
2020-03-20,149658.859375,152088.38631290584,141884.37317370131,143342.0893364448,997895,naver,035420.KS
2020-03-23,138968.953125,145285.7237215909,136053.52054195805,137511.23683347902,1033851,naver,035420.KS
2020-03-24,151602.46875,152574.27944711538,143827.9831730769,147229.32061298075,960786,naver,035420.KS
2020-03-25,151602.46875,158405.1436298077,147715.22596153847,155975.61688701922,1039579,naver,035420.KS
2020-03-26,148201.140625,153546.09979508197,145285.70835040984,151602.47827868853,988725,naver,035420.KS
2020-03-27,159376.96875,159862.8741425305,154032.00943216463,156947.44178734758,1217815,naver,035420.KS
2020-03-30,157919.25,160348.77692307692,154517.9123076923,155489.72307692308,630830,naver,035420.KS
2020-03-31,165207.828125,166179.6388786765,158891.05822610293,158891.05822610293,858165,naver,035420.KS
2020-04-01,158405.15625,166179.64244631902,158405.15625,161806.49396088958,720283,naver,035420.KS
2020-04-02,168609.171875,170066.88805835735,159862.8747748559,161806.4963526657,1086863,naver,035420.KS
2020-04-03,167151.46875,167637.3741824128,163264.22529069768,165207.84702034885,663454,naver,035420.KS
2020-04-06,168123.265625,171038.6979768786,165693.73866510115,168609.17101697976,655547,naver,035420.KS
2020-04-07,164721.953125,169581.00778945428,162778.33125921828,169095.10232300885,873091,naver,035420.KS
2020-04-08,161806.484375,164721.9165259009,161806.484375,164236.01116741743,588577,naver,035420.KS
2020-04-09,162778.296875,164236.0129664179,160348.77005597015,163750.10760261194,682921,naver,035420.KS
2020-04-10,161806.484375,162292.3897334835,159376.95758258257,161320.5790165165,483720,naver,035420.KS
2020-04-13,161320.578125,163264.19954819276,157919.24063441265,159862.8620576054,413768,naver,035420.KS
2020-04-14,163750.125,165207.8412462908,161806.50333827894,163264.21958456974,520725,naver,035420.KS
2020-04-16,165693.734375,167637.3558925953,162778.30209860703,163264.20747800588,841066,naver,035420.KS
2020-04-17,173954.125,174925.93575418994,168609.1658519553,170552.7873603352,900031,naver,035420.KS
2020-04-20,174925.953125,176869.57482638888,173954.14227430554,175897.76397569443,663723,naver,035420.KS
2020-04-21,173468.234375,176383.6668855042,168609.18019082633,175411.85604866946,759150,naver,035420.KS
2020-04-22,176869.5625,177355.4678914835,168123.26545329668,170066.88701923075,611589,naver,035420.KS
2020-04-23,184644.0625,190474.92763157896,181242.72450657896,184644.0625,1521478,naver,035420.KS
2020-04-24,187073.578125,191932.6321022727,183672.24034090908,183672.24034090908,928695,naver,035420.KS
2020-04-27,191932.625,194362.15189873418,187073.57120253166,187559.4765822785,927347,naver,035420.KS
2020-04-28,192418.53125,192418.53125,189017.19357638888,191932.62586805556,433549,naver,035420.KS
2020-04-29,191932.625,194362.15189873418,190960.81424050633,193876.24651898735,676743,naver,035420.KS
2020-05-04,193390.3125,197277.55496231155,188045.35411432158,192904.40719221105,1104027,naver,035420.KS
2020-05-06,206023.90625,206509.81168926886,194848.08114681602,195819.89202535377,992225,naver,035420.KS
2020-05-07,209425.21875,213798.36716937355,204566.16495069605,205537.97571055684,984024,naver,035420.KS
2020-05-08,207967.515625,212340.66431804906,206023.89398364487,209911.13726635513,732394,naver,035420.KS
2020-05-11,208453.40625,214770.17613636362,207967.50087412586,208453.40625,599328,naver,035420.KS
2020-05-12,213312.453125,220115.1281677107,208939.3048832574,211854.73704441913,1056584,naver,035420.KS
2020-05-13,212340.65625,216227.89938501146,207481.6023312357,211368.84546624715,1014692,naver,035420.KS
2020-05-14,212826.5625,215741.9948630137,208453.41395547945,208453.41395547945,866427,naver,035420.KS
2020-05-15,206995.6875,213312.457306338,203594.34991197183,212826.5519366197,1050469,naver,035420.KS
2020-05-18,208939.328125,211854.7606104651,205537.9902252907,208939.328125,638906,naver,035420.KS
2020-05-19,207481.609375,210397.0418252342,204566.1769247658,208939.3256001171,917603,naver,035420.KS
2020-05-20,215741.984375,219143.32196649775,208939.3091920045,209425.21456221846,977544,naver,035420.KS
2020-05-21,218657.421875,226917.81336805556,216227.89496527778,221086.94878472222,1004395,naver,035420.KS
2020-05-22,224002.375,225945.99647505424,216227.8890997831,220601.0374186551,1108281,naver,035420.KS
2020-05-25,234206.40625,234206.40625,227403.73054979253,227889.6359569502,1015069,naver,035420.KS
2020-05-26,232262.765625,239065.44076882847,223516.4690115063,237121.81929916318,1568016,naver,035420.KS
2020-05-27,222058.75,227889.61433260393,220115.12855579867,224488.27680525163,1351505,naver,035420.KS
2020-05-28,233720.484375,234206.389747921,215741.9855769231,219629.22856029109,1625154,naver,035420.KS
2020-05-29,219629.234375,236150.01749170353,219629.234375,233234.58517699115,3114298,naver,035420.KS
2020-06-01,230319.15625,230319.15625,223516.48074894515,226917.81849947257,1140644,naver,035420.KS
2020-06-02,227403.734375,229347.35603632478,225460.11271367522,228375.5452056624,689584,naver,035420.KS
2020-06-03,219143.34375,228861.45212028825,218657.4383314856,228375.54670177386,1476614,naver,035420.KS
2020-06-04,225946.015625,228375.54267473117,220601.0561155914,221572.86693548388,1052789,naver,035420.KS
2020-06-05,224488.28125,224488.28125,218657.41680194804,222544.659767316,1061922,naver,035420.KS
2020-06-08,233720.484375,235178.200493763,224488.28228950105,227889.61989994804,1624752,naver,035420.KS
2020-06-09,230805.0625,236150.02184210526,228861.44092105262,233234.5894736842,934440,naver,035420.KS
2020-06-10,237121.828125,240523.16582351437,233234.58504098363,234206.39581198772,1431071,naver,035420.KS
2020-06-11,233720.484375,241980.87571465698,232262.76825623703,237121.821985447,1423978,naver,035420.KS
2020-06-12,235178.1875,235664.0928460744,222058.74315599175,222544.64850206612,1318334,naver,035420.KS
2020-06-15,224974.1875,237607.72718682507,224002.3767548596,233234.57883369332,1311773,naver,035420.KS
2020-06-16,236635.9375,236635.9375,229347.3562628337,232262.7887577002,1155474,naver,035420.KS
2020-06-17,243924.515625,244896.3264442231,236635.9344808267,237121.83989043825,1357900,naver,035420.KS
2020-06-18,240523.1875,246839.95808080808,240037.28207070706,244410.43093434343,744330,naver,035420.KS
2020-06-19,242466.78125,242952.6866232465,237121.82214428857,242952.6866232465,919945,naver,035420.KS
2020-06-22,262388.84375,263846.5595486111,240523.10677083334,242466.72783564817,1841479,naver,035420.KS
2020-06-23,268219.8125,280853.3543931159,262874.8524682971,264332.5688405797,2104075,naver,035420.KS
2020-06-24,271135.1875,271621.09285394265,262874.7964829749,265790.2286066308,995065,naver,035420.KS
2020-06-25,261903.0,268705.67532467534,261903.0,265790.2430426716,1196267,naver,035420.KS
2020-06-26,261417.078125,267247.94232109666,255586.21392890337,266762.03697142197,937593,naver,035420.KS
2020-06-29,256558.03125,262874.8009588068,253642.59907670453,257529.84197443182,814814,naver,035420.KS
2020-06-30,259473.484375,262874.82218515914,255586.2411633895,260445.29517790262,862860,naver,035420.KS
2020-07-01,261417.078125,267247.94232109666,258501.6460269517,262388.88882434944,655711,naver,035420.KS
2020-07-02,269191.59375,269191.59375,263360.72890342964,266276.1613267148,1015829,naver,035420.KS
2020-07-03,269677.5,272592.9324324324,266762.0675675676,268705.6891891892,971940,naver,035420.KS
2020-07-06,273564.71875,279395.5830928064,270163.3812166963,270163.3812166963,1211636,naver,035420.KS
2020-07-07,271621.0625,281339.1684928444,271135.15720035776,276966.0207960644,1365047,naver,035420.KS
2020-07-08,274536.5625,276480.18418141594,266276.1703539823,272107.0353982301,1353345,naver,035420.KS
2020-07-09,279395.59375,288141.8905978261,276480.1614673913,278423.7829891304,2006662,naver,035420.KS
2020-07-10,290571.40625,299803.6081208194,281825.10974080267,283282.82582566893,2120904,naver,035420.KS
2020-07-13,288627.78125,294944.5508733165,279881.48484848486,294944.5508733165,1254800,naver,035420.KS
2020-07-14,278909.6875,282796.93053135887,276966.06598432054,281825.11977351917,1360849,naver,035420.KS
