Date,Close,High,Low,Open,Volume,label,ticker
2020-01-01,1153.75,1154.4000244140625,1145.449951171875,1154.4000244140625,0,usdkrw,KRW=X
2020-01-02,1153.969970703125,1160.18994140625,1145.199951171875,1153.9599609375,0,usdkrw,KRW=X
2020-01-03,1157.1500244140625,1168.0699462890625,1155.31005859375,1157.550048828125,0,usdkrw,KRW=X
2020-01-06,1165.8499755859375,1172.489990234375,1165.6400146484375,1167.4000244140625,0,usdkrw,KRW=X
2020-01-07,1167.4200439453125,1168.010009765625,1161.949951171875,1166.52001953125,0,usdkrw,KRW=X
2020-01-08,1166.4599609375,1178.8399658203125,1162.4000244140625,1166.530029296875,0,usdkrw,KRW=X
2020-01-09,1161.260009765625,1162.5899658203125,1156.510009765625,1161.3399658203125,0,usdkrw,KRW=X
2020-01-10,1157.81005859375,1163.6400146484375,1156.199951171875,1158.5799560546875,0,usdkrw,KRW=X
2020-01-13,1156.9300537109375,1157.7900390625,1152.3800048828125,1156.9300537109375,0,usdkrw,KRW=X
2020-01-14,1153.93994140625,1159.1400146484375,1149.8699951171875,1153.25,0,usdkrw,KRW=X
2020-01-15,1157.050048828125,1162.18994140625,1154.27001953125,1156.1300048828125,0,usdkrw,KRW=X
2020-01-16,1156.780029296875,1161.0400390625,1155.8499755859375,1159.739990234375,0,usdkrw,KRW=X
2020-01-17,1158.77001953125,1161.1099853515625,1154.550048828125,1159.6700439453125,0,usdkrw,KRW=X
2020-01-20,1160.3599853515625,1160.43994140625,1155.2900390625,1159.800048828125,0,usdkrw,KRW=X
2020-01-21,1157.5699462890625,1169.3900146484375,1157.75,1158.5699462890625,0,usdkrw,KRW=X
2020-01-22,1168.739990234375,1168.719970703125,1161.3900146484375,1168.719970703125,0,usdkrw,KRW=X
2020-01-23,1163.72998046875,1170.0999755859375,1163.699951171875,1165.18994140625,0,usdkrw,KRW=X
2020-01-24,1167.5999755859375,1169.4200439453125,1164.6400146484375,1168.199951171875,0,usdkrw,KRW=X
2020-01-27,1169.1500244140625,1179.2099609375,1169.22998046875,1169.239990234375,0,usdkrw,KRW=X
2020-01-28,1176.72998046875,1181.1700439453125,1173.8599853515625,1176.449951171875,0,usdkrw,KRW=X
2020-01-29,1174.280029296875,1179.8499755859375,1172.550048828125,1172.75,0,usdkrw,KRW=X
2020-01-30,1178.0799560546875,1192.3900146484375,1177.8199462890625,1178.77001953125,0,usdkrw,KRW=X
2020-01-31,1187.1199951171875,1197.8399658203125,1183.260009765625,1186.489990234375,0,usdkrw,KRW=X
2020-02-03,1194.8699951171875,1198.75,1190.280029296875,1194.4000244140625,0,usdkrw,KRW=X
2020-02-04,1189.3599853515625,1193.739990234375,1183.6700439453125,1190.5400390625,0,usdkrw,KRW=X
2020-02-05,1182.47998046875,1192.239990234375,1179.5400390625,1182.489990234375,0,usdkrw,KRW=X
2020-02-06,1183.4599609375,1184.8299560546875,1177.1099853515625,1182.25,0,usdkrw,KRW=X
2020-02-07,1184.25,1195.5699462890625,1184.06005859375,1185.8599853515625,0,usdkrw,KRW=X
2020-02-10,1191.0899658203125,1192.2099609375,1184.7900390625,1191.6700439453125,0,usdkrw,KRW=X
2020-02-11,1185.6300048828125,1186.8800048828125,1179.8199462890625,1186.050048828125,0,usdkrw,KRW=X
2020-02-12,1180.719970703125,1183.5899658203125,1175.3599853515625,1180.550048828125,0,usdkrw,KRW=X
2020-02-13,1177.9599609375,1183.9300537109375,1177.760009765625,1178.3800048828125,0,usdkrw,KRW=X
2020-02-14,1183.469970703125,1184.93994140625,1179.6500244140625,1183.3800048828125,0,usdkrw,KRW=X
2020-02-17,1182.1800537109375,1184.219970703125,1178.449951171875,1180.8900146484375,0,usdkrw,KRW=X
2020-02-18,1183.81005859375,1191.5999755859375,1184.6300048828125,1184.77001953125,0,usdkrw,KRW=X
2020-02-19,1189.9300537109375,1193.3900146484375,1186.6099853515625,1190.050048828125,0,usdkrw,KRW=X
2020-02-20,1191.3699951171875,1207.1099853515625,1190.469970703125,1191.780029296875,0,usdkrw,KRW=X
2020-02-21,1204.4000244140625,1214.5,1202.550048828125,1204.3199462890625,0,usdkrw,KRW=X
2020-02-24,1205.77001953125,1222.5400390625,1214.3900146484375,1214.550048828125,0,usdkrw,KRW=X
2020-02-25,1217.6500244140625,1217.5400390625,1208.030029296875,1217.0400390625,0,usdkrw,KRW=X
2020-02-26,1214.550048828125,1219.8699951171875,1211.8699951171875,1212.3900146484375,0,usdkrw,KRW=X
2020-02-27,1211.3599853515625,1218.050048828125,1208.219970703125,1213.1400146484375,0,usdkrw,KRW=X
2020-02-28,1211.31005859375,1218.030029296875,1201.18994140625,1212.3299560546875,0,usdkrw,KRW=X
2020-03-02,1200.0999755859375,1206.47998046875,1188.010009765625,1199.3199462890625,0,usdkrw,KRW=X
2020-03-03,1188.280029296875,1195.9000244140625,1177.4100341796875,1189.25,0,usdkrw,KRW=X
